personId,firstName,familyName,teamId,teamTricode,minutes,fieldGoalsAttempted,threePointersAttempted
1642865,Yaxel,Lendeborg,1710612744,GWG,23:49,11,5
1642502,Malevy,Leons,1710612744,GWG,22:11,6,0
1643633,Graham,Ike,1710612744,GWG,18:08,6,0
1642954,Will,Richard,1710612744,GWG,22:40,8,5
1643018,LJ,Cryer,1710612744,GWG,21:35,9,6
1643650,Lajae,Jones,1710612744,GWG,16:18,6,3
1643090,Deivon,Smith,1710612744,GWG,18:25,6,0
1642950,Lachlan,Olbrich,1710612744,GWG,14:45,8,1
1642943,Chance,McMillian,1710612744,GWG,16:43,7,3
1643147,Jack,Clark,1710612744,GWG,13:12,4,3
1642936,Chase,Hunter,1710612744,GWG,9:40,3,3
27926,KJ,Adams,1710612744,GWG,2:34,0,0
1642917,Max,Shulga,1710612744,GWG,,0,0
1642893,Alex,Toohey,1710612744,GWG,,0,0
1641801,Emanuel,Miller,1610612759,SAS,25:05,9,3
1643153,RJ,Melendez,1610612759,SAS,15:43,4,2
1643576,Maliq,Brown,1610612759,SAS,23:27,2,1
1642939,Miles,Kelly,1610612759,SAS,19:32,6,2
1643551,Ja'Kobi,Gillespie,1610612759,SAS,21:38,12,4
1631253,Hyunjung,Lee,1610612759,SAS,17:11,7,5
1642930,RJ,Davis,1610612759,SAS,21:20,8,5
1643070,Jayden,Nunn,1610612759,SAS,14:24,6,2
1641987,David,Muoka,1610612759,SAS,14:30,3,0
1643725,Harry,Wessels,1610612759,SAS,5:54,3,0
1642945,Igor,Milicic Jr.,1610612759,SAS,9:17,6,3
1643040,Zakai,Zeigler,1610612759,SAS,5:27,0,0
1642360,Tyon,Grant-Foster,1610612759,SAS,4:54,1,0
1643709,Miles,Barnstable,1610612759,SAS,1:38,1,1
1642868,Carter,Bryant,1610612759,SAS,,0,0
1643519,Jayden,Quaintance,1610612759,SAS,,0,0
1643542,Tarris,Reed Jr.,1610612759,SAS,,0,0
