loc_x,loc_y,shot_distance,shot_made,shot_type,shot_zone,shot_zone_area
-187,175,25,False,3PT,Above the Break 3,Left Side Center(LC)
94,89,12,True,2PT,Mid-Range,Right Side(R)
0,7,0,True,2PT,Restricted Area,Center(C)
141,47,14,False,2PT,Mid-Range,Right Side(R)
176,34,17,False,2PT,Mid-Range,Right Side(R)
237,28,23,False,3PT,Right Corner 3,Right Side(R)
111,-5,11,False,2PT,Mid-Range,Right Side(R)
2,0,0,True,2PT,Restricted Area,Center(C)
0,4,0,True,2PT,Restricted Area,Center(C)
-138,96,16,True,2PT,Mid-Range,Left Side(L)
-100,129,16,True,2PT,Mid-Range,Left Side Center(LC)
133,58,14,False,2PT,Mid-Range,Right Side(R)
100,47,11,True,2PT,Mid-Range,Right Side(R)
9,36,3,True,2PT,Restricted Area,Center(C)
56,149,15,False,2PT,Mid-Range,Center(C)
-5,15,1,False,2PT,Restricted Area,Center(C)
-166,213,27,False,3PT,Above the Break 3,Left Side Center(LC)
239,3,23,False,3PT,Right Corner 3,Right Side(R)
-198,164,25,False,3PT,Above the Break 3,Left Side Center(LC)
119,230,25,True,3PT,Above the Break 3,Right Side Center(RC)
-212,157,26,True,3PT,Above the Break 3,Left Side Center(LC)
0,14,1,True,2PT,Restricted Area,Center(C)
2,1,0,True,2PT,Restricted Area,Center(C)
-84,26,8,False,2PT,Mid-Range,Left Side(L)
-35,26,4,True,2PT,In The Paint (Non-RA),Center(C)
-15,6,1,True,2PT,Restricted Area,Center(C)
-11,6,1,True,2PT,Restricted Area,Center(C)
4,0,0,False,2PT,Restricted Area,Center(C)
1,4,0,False,2PT,Restricted Area,Center(C)
2,14,1,True,2PT,Restricted Area,Center(C)
0,7,0,True,2PT,Restricted Area,Center(C)
0,9,0,False,2PT,Restricted Area,Center(C)
218,132,25,False,3PT,Above the Break 3,Right Side Center(RC)
-8,7,1,True,2PT,Restricted Area,Center(C)
6,3,0,True,2PT,Restricted Area,Center(C)
-141,78,16,False,2PT,Mid-Range,Left Side(L)
0,34,3,False,2PT,Restricted Area,Center(C)
70,-47,8,False,2PT,In The Paint (Non-RA),Right Side(R)
-134,-2,13,False,2PT,Mid-Range,Left Side(L)
-210,142,25,False,3PT,Above the Break 3,Left Side Center(LC)
-193,179,26,True,3PT,Above the Break 3,Left Side Center(LC)
-18,132,13,True,2PT,In The Paint (Non-RA),Center(C)
-51,162,16,False,2PT,Mid-Range,Center(C)
-1,6,0,True,2PT,Restricted Area,Center(C)
-130,241,27,False,3PT,Above the Break 3,Left Side Center(LC)
10,0,1,True,2PT,Restricted Area,Center(C)
0,11,1,True,2PT,Restricted Area,Center(C)
24,131,13,True,2PT,In The Paint (Non-RA),Center(C)
28,135,13,True,2PT,In The Paint (Non-RA),Center(C)
2,3,0,True,2PT,Restricted Area,Center(C)
10,9,1,False,2PT,Restricted Area,Center(C)
103,142,17,True,2PT,Mid-Range,Right Side Center(RC)
127,75,14,False,2PT,Mid-Range,Right Side(R)
20,11,2,True,2PT,Restricted Area,Center(C)
-2,167,16,True,2PT,Mid-Range,Center(C)
-10,22,2,False,2PT,Restricted Area,Center(C)
0,124,12,True,2PT,In The Paint (Non-RA),Center(C)
10,17,1,True,2PT,Restricted Area,Center(C)
141,216,25,False,3PT,Above the Break 3,Right Side Center(RC)
-4,53,5,False,2PT,In The Paint (Non-RA),Center(C)
-21,12,2,False,2PT,Restricted Area,Center(C)
-4,15,1,False,2PT,Restricted Area,Center(C)
-2,56,5,False,2PT,In The Paint (Non-RA),Center(C)
-131,143,19,False,2PT,Mid-Range,Left Side Center(LC)
103,110,15,False,2PT,Mid-Range,Right Side(R)
-15,22,2,False,2PT,Restricted Area,Center(C)
53,168,17,False,2PT,Mid-Range,Center(C)
18,25,3,False,2PT,Restricted Area,Center(C)
4,26,2,True,2PT,Restricted Area,Center(C)
111,184,21,False,2PT,Mid-Range,Right Side Center(RC)
105,34,11,False,2PT,Mid-Range,Right Side(R)
7,15,1,False,2PT,Restricted Area,Center(C)
135,131,18,True,2PT,Mid-Range,Right Side Center(RC)
-54,216,22,True,2PT,Mid-Range,Center(C)
141,42,14,False,2PT,Mid-Range,Right Side(R)
9,20,2,False,2PT,Restricted Area,Center(C)
-11,15,1,True,2PT,Restricted Area,Center(C)
-49,167,17,False,2PT,Mid-Range,Center(C)
0,19,1,True,2PT,Restricted Area,Center(C)
151,209,25,False,3PT,Above the Break 3,Right Side Center(RC)
20,28,3,True,2PT,Restricted Area,Center(C)
-23,31,3,False,2PT,Restricted Area,Center(C)
-2,37,3,False,2PT,Restricted Area,Center(C)
-78,209,22,False,2PT,Mid-Range,Left Side Center(LC)
-117,134,17,True,2PT,Mid-Range,Left Side Center(LC)
7,25,2,True,2PT,Restricted Area,Center(C)
-10,33,3,False,2PT,Restricted Area,Center(C)
-11,17,2,True,2PT,Restricted Area,Center(C)
133,219,25,False,3PT,Above the Break 3,Right Side Center(RC)
4,22,2,True,2PT,Restricted Area,Center(C)
111,0,11,True,2PT,Mid-Range,Right Side(R)
149,214,26,False,3PT,Above the Break 3,Right Side Center(RC)
118,160,19,False,2PT,Mid-Range,Right Side Center(RC)
56,151,16,True,2PT,Mid-Range,Right Side Center(RC)
-21,20,2,False,2PT,Restricted Area,Center(C)
176,181,25,True,3PT,Above the Break 3,Right Side Center(RC)
-18,6,1,True,2PT,Restricted Area,Center(C)
28,192,19,False,2PT,Mid-Range,Center(C)
26,20,3,True,2PT,Restricted Area,Center(C)
-168,192,25,False,3PT,Above the Break 3,Left Side Center(LC)
0,12,1,False,2PT,Restricted Area,Center(C)
-8,15,1,False,2PT,Restricted Area,Center(C)
-15,56,5,True,2PT,In The Paint (Non-RA),Center(C)
53,25,5,False,2PT,In The Paint (Non-RA),Center(C)
-8,23,2,True,2PT,Restricted Area,Center(C)
-4,14,1,True,2PT,Restricted Area,Center(C)
-120,230,25,False,3PT,Above the Break 3,Left Side Center(LC)
21,15,2,False,2PT,Restricted Area,Center(C)
4,17,1,True,2PT,Restricted Area,Center(C)
-11,34,3,False,2PT,Restricted Area,Center(C)
-209,14,20,True,2PT,Mid-Range,Left Side(L)
-11,74,7,False,2PT,In The Paint (Non-RA),Center(C)
103,31,10,False,2PT,Mid-Range,Right Side(R)
-25,6,2,False,2PT,Restricted Area,Center(C)
-8,158,15,False,2PT,Mid-Range,Center(C)
21,6,2,True,2PT,Restricted Area,Center(C)
-16,7,1,True,2PT,Restricted Area,Center(C)
21,20,2,True,2PT,Restricted Area,Center(C)
89,200,21,False,2PT,Mid-Range,Right Side Center(RC)
92,37,9,True,2PT,Mid-Range,Right Side(R)
-35,30,4,False,2PT,In The Paint (Non-RA),Center(C)
50,104,11,True,2PT,In The Paint (Non-RA),Center(C)
28,1,2,False,2PT,Restricted Area,Center(C)
-134,102,16,False,2PT,Mid-Range,Left Side Center(LC)
-24,4,2,True,2PT,Restricted Area,Center(C)
-26,44,5,False,2PT,In The Paint (Non-RA),Center(C)
-144,216,25,False,3PT,Above the Break 3,Left Side Center(LC)
15,15,2,True,2PT,Restricted Area,Center(C)
-11,20,2,True,2PT,Restricted Area,Center(C)
-160,187,24,False,3PT,Above the Break 3,Left Side Center(LC)
118,138,18,False,2PT,Mid-Range,Right Side Center(RC)
-179,172,24,True,3PT,Above the Break 3,Left Side Center(LC)
-226,50,23,True,3PT,Left Corner 3,Left Side(L)
119,48,12,False,2PT,Mid-Range,Right Side(R)
-136,25,13,False,2PT,Mid-Range,Left Side(L)
6,7,0,False,2PT,Restricted Area,Center(C)
29,33,4,False,2PT,In The Paint (Non-RA),Center(C)
-158,124,20,True,2PT,Mid-Range,Left Side Center(LC)
-13,178,17,True,2PT,Mid-Range,Center(C)
-13,3,1,True,2PT,Restricted Area,Center(C)
-5,-2,0,True,2PT,Restricted Area,Center(C)
106,124,16,False,2PT,Mid-Range,Right Side Center(RC)
-4,3,0,False,2PT,Restricted Area,Center(C)
-193,142,23,False,3PT,Above the Break 3,Left Side Center(LC)
0,37,3,True,2PT,Restricted Area,Center(C)
-112,153,18,False,2PT,Mid-Range,Left Side Center(LC)
0,4,0,False,2PT,Restricted Area,Center(C)
-8,159,15,True,2PT,Mid-Range,Center(C)
92,145,17,True,2PT,Mid-Range,Right Side Center(RC)
-131,135,18,True,2PT,Mid-Range,Left Side Center(LC)
-11,244,24,True,3PT,Above the Break 3,Center(C)
-125,684,69,False,3PT,Backcourt,Back Court(BC)
-5,222,22,True,2PT,Mid-Range,Center(C)
-2,19,1,True,2PT,Restricted Area,Center(C)
124,162,20,True,2PT,Mid-Range,Right Side Center(RC)
-5,145,14,True,2PT,Mid-Range,Center(C)
-153,113,19,False,2PT,Mid-Range,Left Side Center(LC)
-212,55,21,False,2PT,Mid-Range,Left Side(L)
4,-13,1,True,2PT,Restricted Area,Center(C)
236,15,23,False,3PT,Right Corner 3,Right Side(R)
-19,7,2,True,2PT,Restricted Area,Center(C)
176,164,24,False,3PT,Above the Break 3,Right Side Center(RC)
103,224,24,True,3PT,Above the Break 3,Right Side Center(RC)
-4,138,13,True,2PT,In The Paint (Non-RA),Center(C)
-228,9,22,False,3PT,Left Corner 3,Left Side(L)
-10,-6,1,True,2PT,Restricted Area,Center(C)
92,224,24,False,3PT,Above the Break 3,Right Side Center(RC)
-2,0,0,True,2PT,Restricted Area,Center(C)
-4,6,0,False,2PT,Restricted Area,Center(C)
110,167,19,True,2PT,Mid-Range,Right Side Center(RC)
-228,3,22,True,3PT,Left Corner 3,Left Side(L)
102,164,19,True,2PT,Mid-Range,Right Side Center(RC)
-78,238,25,False,3PT,Above the Break 3,Left Side Center(LC)
0,-6,0,False,2PT,Restricted Area,Center(C)
-2,0,0,False,2PT,Restricted Area,Center(C)
-101,48,11,False,2PT,Mid-Range,Left Side(L)
29,19,3,False,2PT,Restricted Area,Center(C)
24,14,2,True,2PT,Restricted Area,Center(C)
215,11,21,False,2PT,Mid-Range,Right Side(R)
-2,3,0,True,2PT,Restricted Area,Center(C)
1,0,0,True,2PT,Restricted Area,Center(C)
6,-6,0,True,2PT,Restricted Area,Center(C)
-232,12,23,False,3PT,Left Corner 3,Left Side(L)
-92,6,9,True,2PT,Mid-Range,Left Side(L)
-5,9,1,False,2PT,Restricted Area,Center(C)
64,28,6,False,2PT,In The Paint (Non-RA),Center(C)
0,-5,0,True,2PT,Restricted Area,Center(C)
-122,216,24,True,3PT,Above the Break 3,Left Side Center(LC)
1,-6,0,True,2PT,Restricted Area,Center(C)
-138,149,20,False,2PT,Mid-Range,Left Side Center(LC)
127,383,40,False,3PT,Above the Break 3,Right Side Center(RC)
-103,151,18,False,2PT,Mid-Range,Left Side Center(LC)
201,36,20,True,2PT,Mid-Range,Right Side(R)
130,134,18,True,2PT,Mid-Range,Right Side Center(RC)
192,33,19,False,2PT,Mid-Range,Right Side(R)
160,153,22,True,2PT,Mid-Range,Right Side Center(RC)
-106,195,22,False,2PT,Mid-Range,Left Side Center(LC)
-8,115,11,False,2PT,In The Paint (Non-RA),Center(C)
127,61,14,True,2PT,Mid-Range,Right Side(R)
146,129,19,False,2PT,Mid-Range,Right Side Center(RC)
203,52,20,True,2PT,Mid-Range,Right Side(R)
-172,102,19,False,2PT,Mid-Range,Left Side(L)
-5,1,0,True,2PT,Restricted Area,Center(C)
-168,190,25,False,3PT,Above the Break 3,Left Side Center(LC)
-90,239,25,True,3PT,Above the Break 3,Left Side Center(LC)
-168,47,17,False,2PT,Mid-Range,Left Side(L)
-229,9,22,False,3PT,Left Corner 3,Left Side(L)
-7,9,1,False,2PT,Restricted Area,Center(C)
-161,194,25,True,3PT,Above the Break 3,Left Side Center(LC)
23,119,12,False,2PT,In The Paint (Non-RA),Center(C)
9,-3,0,True,2PT,Restricted Area,Center(C)
-7,9,1,True,2PT,Restricted Area,Center(C)
-232,37,23,False,3PT,Left Corner 3,Left Side(L)
-168,41,17,False,2PT,Mid-Range,Left Side(L)
-2,1,0,True,2PT,Restricted Area,Center(C)
-5,7,0,True,2PT,Restricted Area,Center(C)
-5,7,0,True,2PT,Restricted Area,Center(C)
-57,126,13,True,2PT,In The Paint (Non-RA),Center(C)
0,6,0,True,2PT,Restricted Area,Center(C)
-24,157,15,True,2PT,Mid-Range,Center(C)
-7,0,0,True,2PT,Restricted Area,Center(C)
-127,39,13,False,2PT,Mid-Range,Left Side(L)
-7,6,0,True,2PT,Restricted Area,Center(C)
0,1,0,False,2PT,Restricted Area,Center(C)
-172,44,17,False,2PT,Mid-Range,Left Side(L)
-4,4,0,True,2PT,Restricted Area,Center(C)
6,-2,0,True,2PT,Restricted Area,Center(C)
48,252,25,True,3PT,Above the Break 3,Center(C)
-155,88,17,False,2PT,Mid-Range,Left Side(L)
1,1,0,True,2PT,Restricted Area,Center(C)
-144,137,19,False,2PT,Mid-Range,Left Side Center(LC)
47,127,13,True,2PT,In The Paint (Non-RA),Center(C)
-7,3,0,True,2PT,Restricted Area,Center(C)
-158,83,17,True,2PT,Mid-Range,Left Side(L)
-226,134,26,False,3PT,Above the Break 3,Left Side Center(LC)
192,44,19,True,2PT,Mid-Range,Right Side(R)
-7,7,0,True,2PT,Restricted Area,Center(C)
-158,69,17,False,2PT,Mid-Range,Left Side(L)
64,176,18,False,2PT,Mid-Range,Right Side Center(RC)
-5,4,0,False,2PT,Restricted Area,Center(C)
217,151,26,True,3PT,Above the Break 3,Right Side Center(RC)
1,9,0,True,2PT,Restricted Area,Center(C)
0,-6,0,True,2PT,Restricted Area,Center(C)
-223,134,26,True,3PT,Above the Break 3,Left Side Center(LC)
-201,184,27,False,3PT,Above the Break 3,Left Side Center(LC)
0,1,0,True,2PT,Restricted Area,Center(C)
102,225,24,False,3PT,Above the Break 3,Right Side Center(RC)
231,22,23,False,3PT,Right Corner 3,Right Side(R)
-56,205,21,False,2PT,Mid-Range,Center(C)
-4,11,1,True,2PT,Restricted Area,Center(C)
0,9,0,False,2PT,Restricted Area,Center(C)
201,172,26,False,3PT,Above the Break 3,Right Side Center(RC)
233,25,23,True,3PT,Right Corner 3,Right Side(R)
4,0,0,True,2PT,Restricted Area,Center(C)
-5,4,0,False,2PT,Restricted Area,Center(C)
0,6,0,True,2PT,Restricted Area,Center(C)
-229,12,22,True,3PT,Left Corner 3,Left Side(L)
0,-2,0,False,2PT,Restricted Area,Center(C)
170,97,19,False,2PT,Mid-Range,Right Side(R)
-4,4,0,True,2PT,Restricted Area,Center(C)
2,4,0,True,2PT,Restricted Area,Center(C)
-161,34,16,False,2PT,Mid-Range,Left Side(L)
177,17,17,True,2PT,Mid-Range,Right Side(R)
162,26,16,False,2PT,Mid-Range,Right Side(R)
-105,241,26,False,3PT,Above the Break 3,Left Side Center(LC)
-231,72,24,False,3PT,Left Corner 3,Left Side(L)
168,134,21,True,2PT,Mid-Range,Right Side Center(RC)
78,186,20,False,2PT,Mid-Range,Right Side Center(RC)
-187,589,61,False,3PT,Backcourt,Back Court(BC)
0,75,7,False,2PT,In The Paint (Non-RA),Center(C)
222,146,26,True,3PT,Above the Break 3,Right Side Center(RC)
34,19,3,False,2PT,Restricted Area,Center(C)
6,4,0,False,2PT,Restricted Area,Center(C)
0,1,0,True,2PT,Restricted Area,Center(C)
138,121,18,False,2PT,Mid-Range,Right Side Center(RC)
187,83,20,False,2PT,Mid-Range,Right Side(R)
230,80,24,False,3PT,Right Corner 3,Right Side(R)
-204,157,25,False,3PT,Above the Break 3,Left Side Center(LC)
-180,47,18,False,2PT,Mid-Range,Left Side(L)
0,9,0,True,2PT,Restricted Area,Center(C)
-75,252,26,False,3PT,Above the Break 3,Center(C)
-8,3,0,True,2PT,Restricted Area,Center(C)
234,14,23,False,3PT,Right Corner 3,Right Side(R)
-188,12,18,True,2PT,Mid-Range,Left Side(L)
-2,1,0,True,2PT,Restricted Area,Center(C)
7,195,19,False,2PT,Mid-Range,Center(C)
26,6,2,False,2PT,Restricted Area,Center(C)
-180,173,24,True,3PT,Above the Break 3,Left Side Center(LC)
-90,19,9,False,2PT,Mid-Range,Left Side(L)
-223,-13,22,False,3PT,Left Corner 3,Left Side(L)
-10,11,1,True,2PT,Restricted Area,Center(C)
78,12,7,False,2PT,In The Paint (Non-RA),Center(C)
157,85,17,False,2PT,Mid-Range,Right Side(R)
80,173,19,True,2PT,Mid-Range,Right Side Center(RC)
45,121,12,False,2PT,In The Paint (Non-RA),Center(C)
15,17,2,False,2PT,Restricted Area,Center(C)
-16,17,2,False,2PT,Restricted Area,Center(C)
-142,131,19,True,2PT,Mid-Range,Left Side Center(LC)
-4,58,5,True,2PT,In The Paint (Non-RA),Center(C)
-155,11,15,True,2PT,Mid-Range,Left Side(L)
-153,124,19,False,2PT,Mid-Range,Left Side Center(LC)
-11,19,2,True,2PT,Restricted Area,Center(C)
20,11,2,False,2PT,Restricted Area,Center(C)
27,8,2,False,2PT,Restricted Area,Center(C)
20,11,2,True,2PT,Restricted Area,Center(C)
11,8,1,True,2PT,Restricted Area,Center(C)
-49,94,10,True,2PT,In The Paint (Non-RA),Center(C)
-59,159,16,False,2PT,Mid-Range,Left Side Center(LC)
192,-16,19,True,2PT,Mid-Range,Right Side(R)
-13,9,1,True,2PT,Restricted Area,Center(C)
241,-5,24,False,3PT,Right Corner 3,Right Side(R)
189,-6,18,False,2PT,Mid-Range,Right Side(R)
13,15,1,True,2PT,Restricted Area,Center(C)
196,-8,19,False,2PT,Mid-Range,Right Side(R)
-16,4,1,False,2PT,Restricted Area,Center(C)
28,9,2,False,2PT,Restricted Area,Center(C)
237,17,23,False,3PT,Right Corner 3,Right Side(R)
135,3,13,False,2PT,Mid-Range,Right Side(R)
124,31,12,False,2PT,Mid-Range,Right Side(R)
226,-3,22,True,3PT,Right Corner 3,Right Side(R)
12,19,2,True,2PT,Restricted Area,Center(C)
86,52,10,False,2PT,Mid-Range,Right Side(R)
-16,15,2,False,2PT,Restricted Area,Center(C)
1,39,3,True,2PT,Restricted Area,Center(C)
32,157,16,False,2PT,Mid-Range,Center(C)
-11,12,1,False,2PT,Restricted Area,Center(C)
-51,165,17,True,2PT,Mid-Range,Center(C)
-2,19,1,True,2PT,Restricted Area,Center(C)
177,-24,17,False,2PT,Mid-Range,Right Side(R)
26,3,2,True,2PT,Restricted Area,Center(C)
-163,197,25,True,3PT,Above the Break 3,Left Side Center(LC)
230,1,23,False,3PT,Right Corner 3,Right Side(R)
136,400,42,False,3PT,Above the Break 3,Back Court(BC)
-19,19,2,True,2PT,Restricted Area,Center(C)
143,52,15,True,2PT,Mid-Range,Right Side(R)
-73,123,14,True,2PT,In The Paint (Non-RA),Left Side(L)
-136,0,13,False,2PT,Mid-Range,Left Side(L)
-76,0,7,True,2PT,In The Paint (Non-RA),Center(C)
166,179,24,False,3PT,Above the Break 3,Right Side Center(RC)
-8,15,1,False,2PT,Restricted Area,Center(C)
-8,25,2,True,2PT,Restricted Area,Center(C)
20,20,2,True,2PT,Restricted Area,Center(C)
-5,71,7,False,2PT,In The Paint (Non-RA),Center(C)
-5,22,2,False,2PT,Restricted Area,Center(C)
9,12,1,True,2PT,Restricted Area,Center(C)
-101,12,10,True,2PT,Mid-Range,Left Side(L)
34,41,5,False,2PT,In The Paint (Non-RA),Center(C)
-131,22,13,False,2PT,Mid-Range,Left Side(L)
18,12,2,True,2PT,Restricted Area,Center(C)
136,189,23,True,2PT,Mid-Range,Right Side Center(RC)
151,216,26,True,3PT,Above the Break 3,Right Side Center(RC)
0,9,0,True,2PT,Restricted Area,Center(C)
26,9,2,True,2PT,Restricted Area,Center(C)
149,200,24,False,3PT,Above the Break 3,Right Side Center(RC)
-114,148,18,True,2PT,Mid-Range,Left Side Center(LC)
-57,143,15,False,2PT,Mid-Range,Center(C)
-228,-10,22,False,3PT,Left Corner 3,Left Side(L)
100,23,10,False,2PT,Mid-Range,Right Side(R)
-2,20,2,True,2PT,Restricted Area,Center(C)
12,7,1,False,2PT,Restricted Area,Center(C)
-8,17,1,False,2PT,Restricted Area,Center(C)
119,181,21,False,2PT,Mid-Range,Right Side Center(RC)
-26,4,2,False,2PT,Restricted Area,Center(C)
13,12,1,True,2PT,Restricted Area,Center(C)
151,3,15,True,2PT,Mid-Range,Right Side(R)
18,19,2,True,2PT,Restricted Area,Center(C)
-49,75,8,False,2PT,In The Paint (Non-RA),Left Side(L)
242,-6,24,True,3PT,Right Corner 3,Right Side(R)
154,0,15,True,2PT,Mid-Range,Right Side(R)
-29,48,5,True,2PT,In The Paint (Non-RA),Center(C)
111,134,17,False,2PT,Mid-Range,Right Side Center(RC)
-180,25,18,True,2PT,Mid-Range,Left Side(L)
15,121,12,True,2PT,In The Paint (Non-RA),Center(C)
-93,11,9,False,2PT,Mid-Range,Left Side(L)
-117,134,17,True,2PT,Mid-Range,Left Side Center(LC)
-60,22,6,False,2PT,In The Paint (Non-RA),Center(C)
147,201,24,False,3PT,Above the Break 3,Right Side Center(RC)
-10,7,1,False,2PT,Restricted Area,Center(C)
20,164,16,False,2PT,Mid-Range,Center(C)
9,9,1,True,2PT,Restricted Area,Center(C)
15,17,2,True,2PT,Restricted Area,Center(C)
125,230,26,False,3PT,Above the Break 3,Right Side Center(RC)
6,23,2,True,2PT,Restricted Area,Center(C)
-64,186,19,False,2PT,Mid-Range,Left Side Center(LC)
-27,34,4,False,2PT,In The Paint (Non-RA),Center(C)
97,60,11,False,2PT,Mid-Range,Right Side(R)
237,93,25,False,3PT,Above the Break 3,Right Side Center(RC)
230,50,23,True,3PT,Right Corner 3,Right Side(R)
