loc_x,loc_y,shot_distance,shot_made,shot_type,shot_zone,shot_zone_area
155.0,46.0,16.0,False,2PT,Mid-Range,Right Side(R)
0.0,1.0,0.0,True,2PT,Restricted Area,Center(C)
-27.0,188.0,18.0,True,2PT,Mid-Range,Center(C)
135.0,51.0,14.0,True,2PT,Mid-Range,Right Side(R)
15.0,77.0,7.0,False,2PT,In The Paint (Non-RA),Center(C)
17.0,159.0,15.0,False,2PT,Mid-Range,Center(C)
-120.0,228.0,25.0,False,3PT,Above the Break 3,Left Side Center(LC)
12.0,7.0,1.0,False,2PT,Restricted Area,Center(C)
4.0,56.0,5.0,False,2PT,In The Paint (Non-RA),Center(C)
56.0,116.0,12.0,True,2PT,In The Paint (Non-RA),Center(C)
46.0,56.0,7.0,False,2PT,In The Paint (Non-RA),Center(C)
223.0,3.0,22.0,True,3PT,Right Corner 3,Right Side(R)
14.0,67.0,6.0,False,2PT,In The Paint (Non-RA),Center(C)
25.0,67.0,7.0,False,2PT,In The Paint (Non-RA),Center(C)
-148.0,23.0,14.0,False,2PT,Mid-Range,Left Side(L)
79.0,11.0,7.0,True,2PT,In The Paint (Non-RA),Center(C)
14.0,242.0,24.0,False,3PT,Above the Break 3,Center(C)
123.0,31.0,12.0,False,2PT,Mid-Range,Right Side(R)
227.0,11.0,22.0,True,3PT,Right Corner 3,Right Side(R)
105.0,174.0,20.0,False,2PT,Mid-Range,Right Side Center(RC)
186.0,75.0,20.0,True,2PT,Mid-Range,Right Side(R)
9.0,120.0,12.0,True,2PT,In The Paint (Non-RA),Center(C)
4.0,13.0,1.0,False,2PT,Restricted Area,Center(C)
-137.0,8.0,13.0,True,2PT,Mid-Range,Left Side(L)
-89.0,77.0,11.0,False,2PT,Mid-Range,Left Side(L)
235.0,57.0,24.0,False,3PT,Right Corner 3,Right Side(R)
63.0,159.0,17.0,False,2PT,Mid-Range,Right Side Center(RC)
19.0,244.0,24.0,False,3PT,Above the Break 3,Center(C)
15.0,7.0,1.0,False,2PT,Restricted Area,Center(C)
24.0,8.0,2.0,True,2PT,Restricted Area,Center(C)
0.0,1.0,0.0,True,2PT,Restricted Area,Center(C)
158.0,13.0,15.0,False,2PT,Mid-Range,Right Side(R)
205.0,156.0,25.0,True,3PT,Above the Break 3,Right Side Center(RC)
0.0,1.0,0.0,True,2PT,Restricted Area,Center(C)
15.0,106.0,10.0,False,2PT,In The Paint (Non-RA),Center(C)
-223.0,61.0,23.0,False,3PT,Left Corner 3,Left Side(L)
210.0,139.0,25.0,False,3PT,Above the Break 3,Right Side Center(RC)
-78.0,239.0,25.0,True,3PT,Above the Break 3,Left Side Center(LC)
9.0,115.0,11.0,False,2PT,In The Paint (Non-RA),Center(C)
28.0,61.0,6.0,True,2PT,In The Paint (Non-RA),Center(C)
-125.0,213.0,24.0,False,3PT,Above the Break 3,Left Side Center(LC)
1.0,2.0,0.0,False,2PT,Restricted Area,Center(C)
25.0,7.0,2.0,False,2PT,Restricted Area,Center(C)
0.0,1.0,0.0,False,2PT,Restricted Area,Center(C)
-14.0,154.0,15.0,True,2PT,Mid-Range,Center(C)
25.0,2.0,2.0,False,2PT,Restricted Area,Center(C)
2.0,0.0,0.0,True,2PT,Restricted Area,Center(C)
-230.0,16.0,23.0,True,3PT,Left Corner 3,Left Side(L)
194.0,447.0,48.0,False,3PT,Backcourt,Back Court(BC)
