loc_x,loc_y,shot_distance,shot_made,shot_type,shot_zone,shot_zone_area
-24.0,197.0,19.0,False,2PT,Mid-Range,Center(C)
241.0,14.0,24.0,False,3PT,Right Corner 3,Right Side(R)
10.0,1.0,1.0,True,2PT,Restricted Area,Center(C)
-10.0,45.0,4.0,False,2PT,In The Paint (Non-RA),Center(C)
-52.0,7.0,5.0,False,2PT,In The Paint (Non-RA),Center(C)
-114.0,4.0,11.0,False,2PT,Mid-Range,Left Side(L)
32.0,30.0,4.0,False,2PT,In The Paint (Non-RA),Center(C)
-109.0,149.0,18.0,False,2PT,Mid-Range,Left Side Center(LC)
67.0,249.0,25.0,True,3PT,Above the Break 3,Center(C)
-101.0,36.0,10.0,False,2PT,Mid-Range,Left Side(L)
-19.0,85.0,8.0,True,2PT,In The Paint (Non-RA),Center(C)
-202.0,172.0,26.0,True,3PT,Above the Break 3,Left Side Center(LC)
67.0,86.0,10.0,False,2PT,In The Paint (Non-RA),Right Side(R)
7.0,0.0,0.0,True,2PT,Restricted Area,Center(C)
-187.0,-6.0,18.0,True,2PT,Mid-Range,Left Side(L)
-19.0,58.0,6.0,False,2PT,In The Paint (Non-RA),Center(C)
21.0,19.0,2.0,False,2PT,Restricted Area,Center(C)
-8.0,3.0,0.0,False,2PT,Restricted Area,Center(C)
12.0,9.0,1.0,True,2PT,Restricted Area,Center(C)
-127.0,143.0,19.0,False,2PT,Mid-Range,Left Side Center(LC)
7.0,104.0,10.0,True,2PT,In The Paint (Non-RA),Center(C)
-164.0,194.0,25.0,False,3PT,Above the Break 3,Left Side Center(LC)
-139.0,56.0,14.0,True,2PT,Mid-Range,Left Side(L)
110.0,258.0,28.0,True,3PT,Above the Break 3,Right Side Center(RC)
-7.0,14.0,1.0,False,2PT,Restricted Area,Center(C)
0.0,282.0,28.0,False,3PT,Above the Break 3,Center(C)
97.0,27.0,10.0,False,2PT,Mid-Range,Right Side(R)
-179.0,181.0,25.0,False,3PT,Above the Break 3,Left Side Center(LC)
9.0,4.0,0.0,False,2PT,Restricted Area,Center(C)
20.0,195.0,19.0,True,2PT,Mid-Range,Center(C)
-158.0,15.0,15.0,True,2PT,Mid-Range,Left Side(L)
13.0,3.0,1.0,True,2PT,Restricted Area,Center(C)
187.0,183.0,26.0,False,3PT,Above the Break 3,Right Side Center(RC)
-86.0,173.0,19.0,False,2PT,Mid-Range,Left Side Center(LC)
195.0,145.0,24.0,True,3PT,Above the Break 3,Right Side Center(RC)
124.0,140.0,18.0,True,2PT,Mid-Range,Right Side Center(RC)
140.0,-5.0,14.0,False,2PT,Mid-Range,Right Side(R)
-127.0,165.0,20.0,False,2PT,Mid-Range,Left Side Center(LC)
0.0,33.0,3.0,True,2PT,Restricted Area,Center(C)
-160.0,217.0,26.0,False,3PT,Above the Break 3,Left Side Center(LC)
214.0,157.0,26.0,False,3PT,Above the Break 3,Right Side Center(RC)
-177.0,429.0,46.0,False,3PT,Backcourt,Back Court(BC)
-89.0,159.0,18.0,False,2PT,Mid-Range,Left Side Center(LC)
23.0,6.0,2.0,False,2PT,Restricted Area,Center(C)
1.0,175.0,17.0,False,2PT,Mid-Range,Center(C)
10.0,14.0,1.0,False,2PT,Restricted Area,Center(C)
-11.0,64.0,6.0,False,2PT,In The Paint (Non-RA),Center(C)
95.0,167.0,19.0,True,2PT,Mid-Range,Right Side Center(RC)
138.0,116.0,18.0,True,2PT,Mid-Range,Right Side Center(RC)
28.0,3.0,2.0,False,2PT,Restricted Area,Center(C)
-16.0,4.0,1.0,False,2PT,Restricted Area,Center(C)
7.0,42.0,4.0,True,2PT,In The Paint (Non-RA),Center(C)
