PLAYER_ID,PLAYER_NAME,GP,MIN,STL,BLK
203932,Aaron Gordon,50,1383.78,33,34
1628988,Aaron Holiday,66,1176.0866666666666,46,13
1630174,Aaron Nesmith,46,668.7316666666667,15,9
1627846,Abdel Nader,24,355.25,10,9
1629690,Adam Mokoka,14,56.178333333333335,2,1
201143,Al Horford,28,781.755,25,26
202329,Al-Farouq Aminu,23,434.14,19,9
202692,Alec Burks,49,1254.56,31,14
1630197,Aleksej Pokusevski,45,1089.915,20,42
1629346,Alen Smailagic,15,83.855,3,5
1627936,Alex Caruso,58,1216.1233333333332,64,15
203458,Alex Len,64,978.7383333333333,20,64
1628035,Alfonzo McKinnie,39,258.0083333333333,7,0
1628993,Alize Johnson,18,188.69333333333333,5,5
1628578,Amida Brimah,5,29.278333333333332,0,5
1629599,Amir Coffey,44,394.565,10,0
2760,Anderson Varejao,5,35.93333333333333,0,2
203083,Andre Drummond,46,1241.5883333333334,63,49
2738,Andre Iguodala,63,1338.8633333333332,57,35
203460,Andre Roberson,5,62.92666666666667,3,1
203952,Andrew Wiggins,71,2364.27,67,70
1629014,Anfernee Simons,64,1104.4566666666667,18,8
203076,Anthony Davis,36,1161.735,45,59
1630162,Anthony Edwards,72,2314.1666666666665,82,36
1630264,Anthony Gill,26,218.015,10,4
1630237,Anthony Lamb,24,415.21,6,5
201229,Anthony Tolliver,11,98.97333333333333,3,2
1628394,Anžejs Pasečņiks,1,6.316666666666666,0,0
1629717,Armoni Brooks,20,520.36,12,5
203382,Aron Baynes,53,980.2766666666666,17,22
1630204,Ashton Hagans,2,4.066666666666666,0,0
203085,Austin Rivers,36,844.9683333333334,30,2
202340,Avery Bradley,27,601.925,21,3
1626253,Axel Toupane,8,61.21666666666667,2,3
1628389,Bam Adebayo,64,2142.616666666667,75,66
203463,Ben McLemore,53,904.81,23,9
1627732,Ben Simmons,58,1877.2883333333334,93,35
202687,Bismack Biyombo,66,1348.7816666666668,17,74
201933,Blake Griffin,46,1186.62,32,15
1626246,Boban Marjanovic,33,271.3183333333333,2,6
1626171,Bobby Portis Jr.,66,1372.1766666666667,52,26
203992,Bogdan Bogdanović,44,1305.4016666666666,49,13
202711,Bojan Bogdanovic,72,2215.565,45,4
1629626,Bol Bol,32,159.65666666666667,3,10
202954,Brad Wanamaker,61,1053.3283333333334,43,11
203078,Bradley Beal,60,2146.9983333333334,69,22
1629634,Brandon Clarke,59,1414.765,60,51
1629164,Brandon Goodwin,47,619.5916666666667,17,0
1627742,Brandon Ingram,61,2092.41,42,36
1628968,Brian Bowen II,6,14.865,0,0
1630271,Brodric Thomas,32,399.27,15,10
201572,Brook Lopez,70,1901.7883333333334,40,103
1628971,Bruce Brown,65,1451.1583333333333,58,28
203998,Bruno Caboclo,6,36.43333333333333,0,2
1628981,Bruno Fernando,33,225.93333333333334,4,3
1627854,Bryn Forbes,70,1354.36,24,1
1627741,Buddy Hield,71,2432.858333333333,63,30
1629604,CJ Elleby,30,192.38333333333333,6,3
203468,CJ McCollum,47,1599.7583333333334,44,21
1628997,Caleb Martin,53,818.4866666666667,37,12
1629629,Cam Reddish,26,750.3383333333334,33,9
1629244,Cam Reynolds,5,40.483333333333334,0,0
1629661,Cameron Johnson,60,1437.4433333333334,37,16
1628419,Cameron Oliver,4,87.38333333333334,2,4
1626166,Cameron Payne,60,1079.435,36,16
1627747,Caris LeVert,47,1485.34,66,30
2546,Carmelo Anthony,69,1690.1433333333334,46,38
1629035,Carsen Edwards,31,275.5833333333333,7,1
1630199,Cassius Stanley,24,93.31833333333333,1,2
1630216,Cassius Winston,22,98.195,2,1
1626224,Cedi Osman,59,1510.5083333333334,53,9
